Regulator	Target	Relation	Relation counts
CellType	MethSite	FunctionalAssociation	0
GeneticVariant	GeneticVariant	FunctionalAssociation	254492
GeneticVariant	MedicalProcedure	FunctionalAssociation	0
GeneticVariant	PhosphoSite	FunctionalAssociation	0
GeneticVariant	Hyperlink	FunctionalAssociation	0
GeneticVariant	Mutation	FunctionalAssociation	0
GeneticVariant	RNA	FunctionalAssociation	0
GeneticVariant	Site	FunctionalAssociation	0
GeneticVariant	Lysine	FunctionalAssociation	0
GeneticVariant	MethSite	FunctionalAssociation	0
MedicalProcedure	MedicalProcedure	FunctionalAssociation	0
MedicalProcedure	PhosphoSite	FunctionalAssociation	0
MedicalProcedure	Hyperlink	FunctionalAssociation	0
MedicalProcedure	Mutation	FunctionalAssociation	0
MedicalProcedure	RNA	FunctionalAssociation	0
MedicalProcedure	Site	FunctionalAssociation	0
MedicalProcedure	Lysine	FunctionalAssociation	0
MedicalProcedure	MethSite	FunctionalAssociation	0
PhosphoSite	PhosphoSite	FunctionalAssociation	0
PhosphoSite	Hyperlink	FunctionalAssociation	0
PhosphoSite	Mutation	FunctionalAssociation	0
PhosphoSite	RNA	FunctionalAssociation	0
PhosphoSite	Site	FunctionalAssociation	0
PhosphoSite	Lysine	FunctionalAssociation	0
PhosphoSite	MethSite	FunctionalAssociation	0
Hyperlink	Hyperlink	FunctionalAssociation	0
Hyperlink	Mutation	FunctionalAssociation	0
Hyperlink	RNA	FunctionalAssociation	0
Hyperlink	Site	FunctionalAssociation	0
Hyperlink	Lysine	FunctionalAssociation	0
Hyperlink	MethSite	FunctionalAssociation	0
Mutation	Mutation	FunctionalAssociation	1097
Mutation	RNA	FunctionalAssociation	0
Mutation	Site	FunctionalAssociation	0
Mutation	Lysine	FunctionalAssociation	0
Mutation	MethSite	FunctionalAssociation	0
RNA	RNA	FunctionalAssociation	0
RNA	Site	FunctionalAssociation	0
RNA	Lysine	FunctionalAssociation	0
RNA	MethSite	FunctionalAssociation	0
Site	Site	FunctionalAssociation	2045
Site	Lysine	FunctionalAssociation	0
Site	MethSite	FunctionalAssociation	0
Lysine	Lysine	FunctionalAssociation	0
Lysine	MethSite	FunctionalAssociation	0
MethSite	MethSite	FunctionalAssociation	0
Protein	Protein	GeneticChange	0
Protein	SmallMol	GeneticChange	0
Protein	Complex	GeneticChange	0
Protein	FunctionalClass	GeneticChange	0
Protein	CellObject	GeneticChange	0
Protein	Disease	GeneticChange	0
Protein	Organ	GeneticChange	0
Protein	Virus	GeneticChange	0
Protein	ClinicalParameter	GeneticChange	0
Protein	CellProcess	GeneticChange	0
Protein	Organism	GeneticChange	0
Protein	Tissue	GeneticChange	0
Protein	Treatment	GeneticChange	0
Protein	CellType	GeneticChange	0
Protein	GeneticVariant	GeneticChange	0
Protein	MedicalProcedure	GeneticChange	0
Protein	PhosphoSite	GeneticChange	0
Protein	Hyperlink	GeneticChange	0
Protein	Mutation	GeneticChange	0
Protein	RNA	GeneticChange	0
Protein	Site	GeneticChange	0
Protein	Lysine	GeneticChange	0
Protein	MethSite	GeneticChange	0
SmallMol	Protein	GeneticChange	0
SmallMol	SmallMol	GeneticChange	0
SmallMol	Complex	GeneticChange	0
SmallMol	FunctionalClass	GeneticChange	0
SmallMol	CellObject	GeneticChange	0
SmallMol	Disease	GeneticChange	0
SmallMol	Organ	GeneticChange	0
SmallMol	Virus	GeneticChange	0
SmallMol	ClinicalParameter	GeneticChange	0
SmallMol	CellProcess	GeneticChange	0
SmallMol	Organism	GeneticChange	0
SmallMol	Tissue	GeneticChange	0
SmallMol	Treatment	GeneticChange	0
SmallMol	CellType	GeneticChange	0
SmallMol	GeneticVariant	GeneticChange	0
SmallMol	MedicalProcedure	GeneticChange	0
SmallMol	PhosphoSite	GeneticChange	0
SmallMol	Hyperlink	GeneticChange	0
SmallMol	Mutation	GeneticChange	0
SmallMol	RNA	GeneticChange	0
SmallMol	Site	GeneticChange	0
SmallMol	Lysine	GeneticChange	0
SmallMol	MethSite	GeneticChange	0
Complex	Protein	GeneticChange	0
Complex	SmallMol	GeneticChange	0
Complex	Complex	GeneticChange	0
Complex	FunctionalClass	GeneticChange	0
Complex	CellObject	GeneticChange	0
Complex	Disease	GeneticChange	0
Complex	Organ	GeneticChange	0
Complex	Virus	GeneticChange	0
Complex	ClinicalParameter	GeneticChange	0
Complex	CellProcess	GeneticChange	0
Complex	Organism	GeneticChange	0
Complex	Tissue	GeneticChange	0
Complex	Treatment	GeneticChange	0
Complex	CellType	GeneticChange	0
Complex	GeneticVariant	GeneticChange	0
Complex	MedicalProcedure	GeneticChange	0
Complex	PhosphoSite	GeneticChange	0
Complex	Hyperlink	GeneticChange	0
Complex	Mutation	GeneticChange	0
Complex	RNA	GeneticChange	0
Complex	Site	GeneticChange	0
Complex	Lysine	GeneticChange	0
Complex	MethSite	GeneticChange	0
FunctionalClass	Protein	GeneticChange	0
FunctionalClass	SmallMol	GeneticChange	0
FunctionalClass	Complex	GeneticChange	0
FunctionalClass	FunctionalClass	GeneticChange	0
FunctionalClass	CellObject	GeneticChange	0
FunctionalClass	Disease	GeneticChange	0
FunctionalClass	Organ	GeneticChange	0
FunctionalClass	Virus	GeneticChange	0
FunctionalClass	ClinicalParameter	GeneticChange	0
FunctionalClass	CellProcess	GeneticChange	0
FunctionalClass	Organism	GeneticChange	0
FunctionalClass	Tissue	GeneticChange	0
FunctionalClass	Treatment	GeneticChange	0
FunctionalClass	CellType	GeneticChange	0
FunctionalClass	GeneticVariant	GeneticChange	0
FunctionalClass	MedicalProcedure	GeneticChange	0
FunctionalClass	PhosphoSite	GeneticChange	0
FunctionalClass	Hyperlink	GeneticChange	0
FunctionalClass	Mutation	GeneticChange	0
FunctionalClass	RNA	GeneticChange	0
FunctionalClass	Site	GeneticChange	0
FunctionalClass	Lysine	GeneticChange	0
FunctionalClass	MethSite	GeneticChange	0
CellObject	Protein	GeneticChange	0
CellObject	SmallMol	GeneticChange	0
CellObject	Complex	GeneticChange	0
CellObject	FunctionalClass	GeneticChange	0
CellObject	CellObject	GeneticChange	0
CellObject	Disease	GeneticChange	0
CellObject	Organ	GeneticChange	0
CellObject	Virus	GeneticChange	0
CellObject	ClinicalParameter	GeneticChange	0
CellObject	CellProcess	GeneticChange	0
CellObject	Organism	GeneticChange	0
CellObject	Tissue	GeneticChange	0
CellObject	Treatment	GeneticChange	0
CellObject	CellType	GeneticChange	0
CellObject	GeneticVariant	GeneticChange	0
CellObject	MedicalProcedure	GeneticChange	0
CellObject	PhosphoSite	GeneticChange	0
CellObject	Hyperlink	GeneticChange	0
CellObject	Mutation	GeneticChange	0
CellObject	RNA	GeneticChange	0
CellObject	Site	GeneticChange	0
CellObject	Lysine	GeneticChange	0
CellObject	MethSite	GeneticChange	0
Disease	Protein	GeneticChange	213655
Disease	SmallMol	GeneticChange	0
Disease	Complex	GeneticChange	5931
Disease	FunctionalClass	GeneticChange	28920
Disease	CellObject	GeneticChange	0
Disease	Disease	GeneticChange	0
Disease	Organ	GeneticChange	0
Disease	Virus	GeneticChange	0
Disease	ClinicalParameter	GeneticChange	1
Disease	CellProcess	GeneticChange	0
Disease	Organism	GeneticChange	0
Disease	Tissue	GeneticChange	0
Disease	Treatment	GeneticChange	0
Disease	CellType	GeneticChange	5
Disease	GeneticVariant	GeneticChange	0
Disease	MedicalProcedure	GeneticChange	0
Disease	PhosphoSite	GeneticChange	0
Disease	Hyperlink	GeneticChange	0
Disease	Mutation	GeneticChange	0
Disease	RNA	GeneticChange	0
Disease	Site	GeneticChange	1
Disease	Lysine	GeneticChange	0
Disease	MethSite	GeneticChange	0
Organ	Protein	GeneticChange	0
Organ	SmallMol	GeneticChange	0
Organ	Complex	GeneticChange	0
Organ	FunctionalClass	GeneticChange	0
Organ	CellObject	GeneticChange	0
Organ	Disease	GeneticChange	0
Organ	Organ	GeneticChange	0
Organ	Virus	GeneticChange	0
Organ	ClinicalParameter	GeneticChange	0
Organ	CellProcess	GeneticChange	0
Organ	Organism	GeneticChange	0
Organ	Tissue	GeneticChange	0
Organ	Treatment	GeneticChange	0
Organ	CellType	GeneticChange	0
Organ	GeneticVariant	GeneticChange	0
Organ	MedicalProcedure	GeneticChange	0
Organ	PhosphoSite	GeneticChange	0
Organ	Hyperlink	GeneticChange	0
Organ	Mutation	GeneticChange	0
Organ	RNA	GeneticChange	0
Organ	Site	GeneticChange	0
Organ	Lysine	GeneticChange	0
Organ	MethSite	GeneticChange	0
Virus	Protein	GeneticChange	0
Virus	SmallMol	GeneticChange	0
Virus	Complex	GeneticChange	0
Virus	FunctionalClass	GeneticChange	0
Virus	CellObject	GeneticChange	0
Virus	Disease	GeneticChange	0
Virus	Organ	GeneticChange	0
Virus	Virus	GeneticChange	0
Virus	ClinicalParameter	GeneticChange	0
Virus	CellProcess	GeneticChange	0
Virus	Organism	GeneticChange	0
Virus	Tissue	GeneticChange	0
Virus	Treatment	GeneticChange	0
Virus	CellType	GeneticChange	0
